Name,Medium,Type,Title,Author,Editor,Translator,Publisher,Year,Language,Genre,Identifying Number,Accession Number,Donor,Notes
[Hierarchy Theory: The Challenge of Complex Systems],Printed Matter,Book,The Challenge of Complex Systems,N/A,Howard H. Pattee,N/A,Doubleday,1973,English,Systems Theory,Standard Book Number 0-8076-0673-1,2013.07.586,,
[Computing in the Humanities],Printed Matter,Book,Computing in the Humanities,N/A,Peter C. Patton and Renee A. Holoien,N/A,LexingtonBooks,1981,English,Humanities--Data Processing,ISBN 0-669-03397-9,2013.07.587,,
[The Scholar’s Personal Computing Handbook: A Practical Guide],Printed Matter,Book,A Practical Guide,Bryan Pfaffenberger,N/A,N/A,"Little, Brown and Company",1986,English,Microcomputers,ISBN 0-316-70401-6,2013.07.588,,
[Data Bases in the Humanities and Social Sciences],Printed Matter,Book,Data Bases in the Humanities and Social Sciences,N/A,Joseph Raben and Gregory Marks,N/A,North-Holland Publishing Company,1980,English,Humanities--Data Processing,ISBN 0-444-85499-1,2013.07.589,,"Proceedings of the IFIP Working Conference on Data Bases in the Humanities and Social Sciences, Dartmouth College, Hanover, NH, 23-24 August, 1979"
[Computers and Literature: A Practical Guide],Printed Matter,Book,A Practical Guide,B.H. Rudall and T.N Corns,N/A,N/A,Abacus Press,1987,English,Educational,ISBN 0-85626-340-0,2013.07.590,,2013.07.591.
"[Things the Manual Never Told You: Tips, Techniques, and Shortcuts from the Nation’s Largest User Group - IBM PC Edition]",Printed Matter,Book,"Tips, Techniques, and Shortcuts from the Nation’s Largest User Group - IBM PC Edition",The Boston Computer Society,Jack McGrath,N/A,Addison-Wesley,1987,English,IBM Personal Computer,ISBN 0-201-10706-6,2013.07.592,Aaron Kuhn,
[HyperCard QuickStart: A Graphics Approach],Printed Matter,Book,A Graphics Approach,Richard Maran,N/A,N/A,Que Corporation,1988,English,HyperCard (Program)--Guide,ISBN 0-88022-350-2,2013.07.593,Aaron Kuhn,
[Basic APPLE BASIC],Printed Matter,Book,Basic APPLE BASIC,James S. Coan,N/A,N/A,Hayden Book Company,1982,English,Apple II (Computer)--Programming,ISBN 0-8104-5625-5,2013.07.594,Aaron Kuhn,
[Macmillan Complete Computer Buyer’s Checklist],Printed Matter,Book,All the Questions You Need to Ask When Buying Computer Equipment. Save Time and Money in Your Computer Purchases.,Howard Hillman,N/A,N/A,Macmillan,1984,English,Microcomputers--Purchasing,ISBN 0-02-008260-6,2013.07.598,Aaron Kuhn,
[IBM BASIC: From the Ground Up],Printed Matter,Book,From the Ground Up,David E. Simon,N/A,N/A,Hayden Book Company,1987,English,BASIC--Programming,ISBN 0-8104-6350-4,2013.07.599,Aaron Kuhn,
[Heath/Zenith Z-100 User’s Guide],Printed Matter,Book,Heath/Zenith Z-100 User’s Guide,Hugh Kenner,N/A,N/A,Brady Communications Company,1984,English,Zenith Z-100 (Computer),ISBN 0-89303-516-5,2013.07.601,,
[Computers and Human Language],Printed Matter,Book,Computers and Human Language,George W. Smith,N/A,N/A,Oxford UP,1991,English,Computers,ISBN 0-19-506282-5,2013.07.602,,
[Translating and the Computer],Printed Matter,Book,Translating and the Computer,N/A,Barbara M. Snell,N/A,North-Holland,1979,English,Machine Translating,ISBN 0-444-85302-2,2013.07.603,,"Proceedings of a Seminar, London, 14th November, 1978."
[IBM: Colossus in Transition],Printed Matter,Book,Colossus in Transition,Robert Sobel,N/A,N/A,Sidgwick & Jackson Limited,1981,English,IBM--History,ISBN 0-283-99145-3,2013.07.604,,
"[Text Processing: Algorithms, Languages, and Applications]",Printed Matter,Book,"Algorithms, Languages, and Applications","Allen B. Tucker, Jr.",N/A,N/A,Academic Press,1979,English,Linguistics--Data Processing,ISBN 0-12-702550-2,2013.07.605,,
[The Second Self: Computers and the Human Spirit],Printed Matter,Book,Computers and the Human Spirit,Sherry Turkle,N/A,N/A,Simon and Schuster,1984,English,Computers--Psychological Aspects,ISBN 0-671-46848-0,2013.07.606,,
[Scientific Analysis on the Pocket Calculator],Printed Matter,Book,Scientific Analysis on the Pocket Calculator,Jon M. Smith,N/A,N/A,John Wiley & Sons,1975,English,Calculating-Machines,ISBN 0-471-79997-1,2013.07.607,,
[The General Inquirer: A Computer Approach to Content Analysis],Printed Matter,Book,A Computer Approach to Content Analysis,"Philip J. Stone, Dexter C. Dunphy, Marshall S. Smith, and Daniel M. Ogilvie",N/A,N/A,The M.I.T. Press,1967,English,Content Analysis,Library of Congress Catalog Card Number 66-22641,2013.07.608,,
[The Computer in Literary and Linguistic Research: Papers from a Cambridge Symposium],Printed Matter,Book,Papers from a Cambridge Symposium,N/A,R. A. Wisbey,N/A,Cambridge UP,1971,English,Computers--Literature and Linguistics,0-521-08146-7,2013.07.609,Aaron Kuhn,2013.08.15.
[The Myths of Information: Technology and Postindustrial Culture],Printed Matter,Book,Technology and Postindustrial Culture,N/A,Kathleen Woodward,N/A,Coda Press,1980,English,Technology and Civilization,ISBN 0-930956-12-5,2013.07.610,,
[Science and Literature: New Lenses for Criticism],Printed Matter,Book,New Lenses for Criticism,N/A,Edward M. Jennings,N/A,Doubleday Anchor,1970,English,Literary Criticism,Library of Congress Catalog Card Number 70-123717,2013.07.611,,
[Computers],Printed Matter,Book,Computers,Stanley L. Englebardt,N/A,N/A,Pyramid Publications,1962,English,Computers,N/A,2013.07.612,,
[BASIC for Beginners],Printed Matter,Book,BASIC for Beginners,Wilson Y. Gateley and Gary G. Bitter,N/A,N/A,McGraw-Hill,1970,English,BASIC--Programming,Library of Congress Catalog Card Number 70-121660,2013.07.613,,
"[Travels in Computerland: or, Incompatibilities and Interfaces]",Printed Matter,Book,"or, Incompatibilities and Interfaces","Ben Ross Schneider, Jr.",N/A,N/A,Addison-Wesley,1974,English,Computers--Databases,ISBN 0-201-06737-4,2013.07.614,,
[Apple II Assembly Language],Printed Matter,Book,Apple II Assembly Language,Marvin L. De Jong,N/A,N/A,Howard W. Sams & Co.,1983,English,Programming Guide,ISBN 0-672-21894-1,2013.07.615,,
[Transparency Masters to Accompany Developing Computer Skills Using AppleWorks],Printed Matter,Book,Transparency Masters to Accompany Developing Computer Skills Using AppleWorks,Mickey Settle and Michel Boillot,N/A,N/A,West Publishing Company,1991,English,Transparency Sheets,ISBN 0-314-72628-4,2013.07.628,,Unbound sheets (transparency masters) in clear plastic wrapping (partially open).
[What’s Where in the APPLE: A Complete Guide to the Apple Computer],Printed Matter,Book,A Complete Guide to the Apple Computer,William F. Luebbert,N/A,N/A,Micro Ink,1982,English,Apple Computer--Guide,ISBN 0-938222-09-0,2013.07.629,,
[Exploring Macintosh: Concepts in Visually Oriented Computing],Printed Matter,Book,Concepts in Visually Oriented Computing,"Ken Abernethy, T. Ray Nanney, and Hayden Porter",N/A,N/A,John Wiley & Sons,1989,English,Macintosh (Computer)--Programming,ISBN 0-471-61772-5,2013.07.632,,
[Score! Beating the Top 16 Video Games],Printed Matter,Book,Beating the Top 16 Video Games,Ken Uston,N/A,N/A,Signet,1982,English,Video Games--Strategy,ISBN 0-451-11813-8,2013.07.640,,
[EDUNET: Report of the Summer Study on Information Networks Conducted by the Interuniversity Communications Council (EDUCOM)],Printed Matter,Book,Report of the Summer Study on Information Networks Conducted by the Interuniversity Communications Council (EDUCOM),"George W. Brown, James G. Miller, and Thomas A. Keenan",N/A,N/A,John Wiley & Sons,1967,English,Information Sciences,Library of Congress Catalog Card Number 67-21328,2013.07.648,Aaron Kuhn,
[Information],Printed Matter,Book,Information,N/A,"Dennis Flanagan, et al.",N/A,W. H. Freeman and Company,1966,English,Science--Technical,Library of Congress Catalog Card Number 66-29386,2013.07.649,,
[Introduction to Computers and Programming],Printed Matter,Book,Introduction to Computers and Programming,Jessica Hellwig,N/A,N/A,Columbia UP,1970,English,Computers--Programming,ISBN 0-231-03263-3,2013.07.651,Aaron Kuhn,
[Computer-Aided Instruction in the Humanities],Printed Matter,Book,Computer-Aided Instruction in the Humanities,N/A,Solveig Olsen,N/A,The Modern Language Association of America,1985,English,Educational,ISBN 0-87352-553-1,2013.07.655,Aaron Kuhn,2013.08.14.
