,Medium,Type,Secondary Type,Tertiary Type,Product Name,Username,Manufacturer,Model,Developer,Author,Editor,Publisher,Language,Year,Original Price,Identifying Number,Floppy Drive,Optical Drive,Hard Disk Drive,RAM,CPU,External Connections,Internal Connections,Operating System,Compatibility,Accession Number,Date Tested,Donor,notes,
"Tommy Boy Records / Queen Latifah ""Ladies First"" Music Video",Audio-Visual,A/V,Audio & Visual Recording,"U-Matic 3/4""","Tommy Boy Records / Queen Latifah ""Ladies First"" Music Video",,,,,,,Unitel Video,English,1989,,,,,,,,,,,U-Matic,2022.9.27,,,,
"Select Records / Chubb Rock ""You Bad Chubbs"" Music Video",Audio-Visual,A/V,Audio & Visual Recording,"U-Matic 3/4""","Select Records / Chubb Rock ""You Bad Chubbs"" Music Video",,,,,,,"National Video Recording Studios, Inc.",English,1989,,,,,,,,,,,U-Matic,2022.9.28,,,,
"Capitol Records / Garth Brooks ""If Tomorrow Never Comes""",Audio-Visual,A/V,Audio & Visual Recording,"U-Matic 3/4""","Capitol Records / Garth Brooks ""If Tomorrow Never Comes""",,,,,,,Aristo Video Promotions,English,1989,,,,,,,,,,,U-Matic,2022.9.29,,,,
"A & M Records / Janet Jackson ""Miss You Much""",Audio-Visual,A/V,Audio & Visual Recording,"U-Matic 3/4""","A & M Records / Janet Jackson ""Miss You Much""",,,,,,,Copy Right Video,English,1989,,,,,,,,,,,U-Matic,2022.9.30,,,,
"Motown Music Video / Diana Ross ""Paradise""",Audio-Visual,A/V,Audio & Visual Recording,"U-Matic 3/4""","Motown Music Video / Diana Ross ""Paradise""",,,,,,,Motown Music Video,English,1989,,,,,,,,,,,U-Matic,2022.9.31,,,,
Tommy Boy Records Video Compilation Reel,Audio-Visual,A/V,Audio & Visual Recording,"U-Matic 3/4""",Tommy Boy Records Video Compilation Reel,,,,,,,Unitel Video,English,1989,,,,,,,,,,,U-Matic,2022.9.32,,,"Contents: Digital Underground ""Doowutchyalike""; Queen Latifah ""Video Press Kit"", ""Dance For Me""; Too Poetic ""God Made Me Funky""; De La Soul ""Say No Go"", ""People Hold On""",
Canon Flash Unit V,Audio-Visual,Visual,Image-making,Camera Accessory,Canon Flash Unit V,,Canon,V,,,,,,,,,,,,,,,,,Canon V series cameras,2022.9.85,,Darija Medič,In leather case inside box,
Kodak Close-Up Rangefinder,Audio-Visual,Visual,Image-making,Camera Accessory,Kodak Close-Up Rangefinder,,Kodak AG,260,,,,,German,,,,,,,,,,,,Kodak Retina Rangefinder Camera,2022.9.86,,Darija Medič,In bakelite case inside box,
Sixtomat Color Finder Light Meter,Audio-Visual,Visual,Image-making,Camera Accessory,Sixtomat Color Finder Light Meter,,Gossen,SCA-004,,,,,German,1952,,J311521,,,,,,,,,,2022.9.87,,Darija Medič,,
Svi Marš Na Ples!,Audio-Visual,Audio,Audio Recording,Cassette Tape,Svi Marš Na Ples!,,,CAY 878,,,,Jugoton,,,,,,,,,,,,,,2022.9.88,,Darija Medič,,
Sunflash Electronic Flash Gun,Audio-Visual,Visual,Image-making,Camera Accessory,Sunflash Electronic Flash Gun,,"Liberty Industries, India",,,,,,,,,,,,,,,,,,,2022.9.89,,Darija Medič,In box. Made in India.,
Slide inspector,Audio-Visual,Visual,Image-making,Editing,Slide inspector,,,,,,,,,,,,,,,,,,,,,2022.9.90,,Darija Medič,,
Viewfinder,Audio-Visual,Visual,Image-making,Camera Accessory,Viewfinder,,Pentacon,,,,,,,,,961.309,,,,,,,,,,2022.9.91,,Darija Medič,In box. Made in G.D.R.,
"4 x 5"" Film Back",Audio-Visual,Visual,Image-making,Camera Accessory,"4 x 5"" Film Back",,ICA,3,,,,,,,,,,,,,,,,,,2022.9.92,,Darija Medič,,
Shutter release,Audio-Visual,Visual,Image-making,Camera Accessory,Shutter release,,Pentacon,,,,,,,,,,,,,,,,,,,2022.9.93,,Darija Medič,In box. Made in G.D.R.,
3-Way Splicer,Audio-Visual,Visual,Image-making,Editing,3-Way Splicer,,CRE,,,,,,,,,,,,,,,,,,,2022.9.94,,Darija Medič,In box. Made in Japan.,
"Super8 film reel, unknown contents",Audio-Visual,Visual,Visual Recording,Super8,"Super8 film reel, unknown contents",,,,,,,,,,,,,,,,,,,,,2022.9.95,,Darija Medič,In magnetic tape box,
Deluxe TalkBoy,Audio-Visual,Audio,Audio Recorder,Cassette,Deluxe TalkBoy,,"Tiger Electronics, Inc.",,,,,Twentieth Century Fox Film Corporation,,1993,29.99,,,,,,,,,,,2022.9.96,,Will Tuttle,,
Deluxe TalkGirl,Audio-Visual,Audio,Audio Recorder,Cassette,Deluxe TalkGirl,,"Tiger Electronics, Inc.",,,,,Twentieth Century Fox Film Corporation,,1995,29.99,,,,,,,,,,,2022.9.97,,Will Tuttle,,
Merry Snoopy's Christmas,Audio-Visual,Audio,Audio Recording,8-track Tape,Merry Snoopy's Christmas,,,,,,,"Springboard International Records, Inc.",English,1978,,,,,,,,,,,,2022.9.102,,,,
Recording MD Walkman,Audio-Visual,Audio,Portable Audio Player,MiniDisc,Recording MD Walkman,,Sony,MZ-R700,,,,,,2006,,,,,,,,"Mic, Line-in, proprietary headphone jack",AA battery,,MiniDisc,2022.9.113,,,has power brick and mic/headphone remote adapter,
Blank MiniDiscs,Audio-Visual,Audio,Audio Recording,MiniDisc,Blank MiniDiscs,,FujiFilm,,,,,,,,,,,,,,,,,,MiniDisc Player,2022.9.114,,,,
Blank MiniDisc,Audio-Visual,Audio,Audio Recording,MiniDisc,Blank MiniDisc,,Sony,,,,,,,,,,,,,,,,,,MiniDisc Player,2022.9.115,,,,
Millenium Jams Mix Tape,Audio-Visual,Audio,Audio Recording,MiniDisc,Millenium Jams Mix Tape,,TDK-74,MD-SG,,Michael Iantorno,,,,2022,,,,,,,,,,,MiniDisc Player,2022.9.116,,Michael Iantorno,Mixtape sent by Michael Iantorno of Residual Media Depot,
Remote Walkman Commander Control,Audio-Visual,Audio,Portable Audio Player,Accessory,Remote Walkman Commander Control,,Sony,RM-MC22F,,,,,,,,,,,,,,,,,MiniDisc Player,2022.9.117,,,,
Other People's Money,Audio-Visual,A/V,Audio & Visual Recording,VHS,Other People's Money,,,,,Duped or Recorded from TV,,,,,,,,,,,,,,,VCR,2022.9.126,,,,
Raiders of the Lost Ark,Audio-Visual,A/V,Audio & Visual Recording,VHS,Raiders of the Lost Ark,,,,,Duped or Recorded from TV,,,,,,,,,,,,,,,VCR,2022.9.127,,,,
Ordinary People,Audio-Visual,A/V,Audio & Visual Recording,VHS,Ordinary People,,,,,Duped or Recorded from TV,,,,,,,,,,,,,,,VCR,2022.9.128,,,,
Lord of the Rings,Audio-Visual,A/V,Audio & Visual Recording,VHS,Lord of the Rings,,,,,Duped or Recorded from TV,,,,,,,,,,,,,,,VCR,2022.9.129,,,,
Bells are Ringing,Audio-Visual,A/V,Audio & Visual Recording,VHS,Bells are Ringing,,,,,Duped or Recorded from TV,,,,,,,,,,,,,,,VCR,2022.9.130,,,,
W/W 5-08-02 Black Vera Wang,Audio-Visual,A/V,Audio & Visual Recording,VHS,W/W 5-08-02 Black Vera Wang,,,,,Duped or Recorded from TV,,,,,,,,,,,,,,,VCR,2022.9.131,,,,
Pretty in Pink,Audio-Visual,A/V,Audio & Visual Recording,VHS,Pretty in Pink,,,,,Duped or Recorded from TV,,,,,,,,,,,,,,,VCR,2022.9.132,,,,
"Local Hero, Two's Company, Victor Borge",Audio-Visual,A/V,Audio & Visual Recording,VHS,"Local Hero, Two's Company, Victor Borge",,,,,Duped or Recorded from TV,,,,,,,,,,,,,,,VCR,2022.9.133,,,,
A Different Story,Audio-Visual,A/V,Audio & Visual Recording,VHS,A Different Story,,,,,Duped or Recorded from TV,,,,,,,,,,,,,,,VCR,2022.9.134,,,,
A Shock to the System,Audio-Visual,A/V,Audio & Visual Recording,VHS,A Shock to the System,,,,,Duped or Recorded from TV,,,,,,,,,,,,,,,VCR,2022.9.135,,,,
Starman,Audio-Visual,A/V,Audio & Visual Recording,VHS,Starman,,,,,Duped or Recorded from TV,,,,,,,,,,,,,,,VCR,2022.9.136,,,,
The Way We Were,Audio-Visual,A/V,Audio & Visual Recording,VHS,The Way We Were,,,,,Duped or Recorded from TV,,,,,,,,,,,,,,,VCR,2022.9.137,,,,
Victor Borge,Audio-Visual,A/V,Audio & Visual Recording,VHS,Victor Borge,,,,,Duped or Recorded from TV,,,,,,,,,,,,,,,VCR,2022.9.138,,,,
Sleepless in Seattle,Audio-Visual,A/V,Audio & Visual Recording,VHS,Sleepless in Seattle,,,,,Duped or Recorded from TV,,,,,,,,,,,,,,,VCR,2022.9.139,,,,
West Wing - Blond's First Day,Audio-Visual,A/V,Audio & Visual Recording,VHS,West Wing - Blond's First Day,,,,,Duped or Recorded from TV,,,,,,,,,,,,,,,VCR,2022.9.140,,,,
Riverdance,Audio-Visual,A/V,Audio & Visual Recording,VHS,Riverdance,,,,,Duped or Recorded from TV,,,,,,,,,,,,,,,VCR,2022.9.141,,,,
Random Harvest,Audio-Visual,A/V,Audio & Visual Recording,VHS,Random Harvest,,,,,Duped or Recorded from TV,,,,,,,,,,,,,,,VCR,2022.9.142,,,,
Inside Moves,Audio-Visual,A/V,Audio & Visual Recording,VHS,Inside Moves,,,,,Duped or Recorded from TV,,,,,,,,,,,,,,,VCR,2022.9.143,,,,
Random Harvest,Audio-Visual,A/V,Audio & Visual Recording,VHS,Random Harvest,,,,,Duped or Recorded from TV,,,,,,,,,,,,,,,VCR,2022.9.144,,,,
Body Heat,Audio-Visual,A/V,Audio & Visual Recording,VHS,Body Heat,,,,,Duped or Recorded from TV,,,,,,,,,,,,,,,VCR,2022.9.145,,,,
Silverado,Audio-Visual,A/V,Audio & Visual Recording,VHS,Silverado,,,,,Duped or Recorded from TV,,,,,,,,,,,,,,,VCR,2022.9.146,,,,
My Favorite Year,Audio-Visual,A/V,Audio & Visual Recording,VHS,My Favorite Year,,,,,Duped or Recorded from TV,,,,,,,,,,,,,,,VCR,2022.9.147,,,,
Without Reservations,Audio-Visual,A/V,Audio & Visual Recording,VHS,Without Reservations,,,,,Duped or Recorded from TV,,,,,,,,,,,,,,,VCR,2022.9.148,,,,
Arthur The Producers,Audio-Visual,A/V,Audio & Visual Recording,VHS,Arthur The Producers,,,,,Duped or Recorded from TV,,,,,,,,,,,,,,,VCR,2022.9.149,,,,
The Mating of Millie,Audio-Visual,A/V,Audio & Visual Recording,VHS,The Mating of Millie,,,,,Duped or Recorded from TV,,,,,,,,,,,,,,,VCR,2022.9.150,,,,
Without Love,Audio-Visual,A/V,Audio & Visual Recording,VHS,Without Love,,,,,Duped or Recorded from TV,,,,,,,,,,,,,,,VCR,2022.9.151,,,,
Flip Video,Audio-Visual,A/V,Audio & Visual Recorder,Digital,Flip Video,,Pure Digital Technologies,,,,,,,2006,,,,,,,,USB,,,,2022.9.154,,,,
Sony Handycam Video8,Audio-Visual,A/V,Audio & Visual Recorder,Video8,Sony Handycam Video8,,Sony,CCD-F555,,,,,,1991,,,,,,,,,,,,2022.9.155,,,in hard case with manuals and accessories,
Starwars Episode II Part 1 & 2 Hardware Wars,Audio-Visual,A/V,Audio & Visual Recording,CD-RW,Starwars Episode II Part 1 & 2 Hardware Wars,,,,,,,,,,,,,,,,,,,,,2023.1.103,,Wenhua Shi,pirated media,
"MP3's, SCIFI movie clips",Audio-Visual,A/V,Audio & Visual Recording,CD-RW,"MP3's, SCIFI movie clips",,,,,,,,,,,,,,,,,,,,,2023.1.104,,Wenhua Shi,pirated media,
"Starwars Episode II Part 3, Fantastic 4 Part 1 & 2, Fuel Video, Spiderman Trailer",Audio-Visual,A/V,Audio & Visual Recording,CD-RW,"Starwars Episode II Part 3, Fantastic 4 Part 1 & 2, Fuel Video, Spiderman Trailer",,,,,,,,,,,,,,,,,,,,,2023.1.105,,Wenhua Shi,pirated media,
Scooby Doo 1 & 2,Audio-Visual,A/V,Audio & Visual Recording,CD-RW,Scooby Doo 1 & 2,,,,,,,,,,,,,,,,,,,,,2023.1.106,,Wenhua Shi,pirated media,
Net MD Walkman Type-R,Audio-Visual,Audio,Portable Audio Player,MiniDisc,Net MD Walkman Type-R,,Sony,MZ-N505,,,,,,2002,,,,,,,,"Mic, Line-in, proprietary headphone jack",AA battery,,MiniDisc,2023.1.141,,Beth August Abbot,,
Blank MiniDisc,Audio-Visual,Audio,Audio Recording,MiniDisc,Blank MiniDisc,,Memorex,MD-74,,,,,,,,,,,,,,,,,MiniDisc,2023.1.142,,Beth August Abbot,,
"""Rock""",Audio-Visual,Audio,Audio Recording,MiniDisc,"""Rock""",,,,,Mixed title user generated disc,,,,,,,,,,,,,,,MiniDisc,2023.1.143,,Beth August Abbot,,
"""Punk Rock""",Audio-Visual,Audio,Audio Recording,MiniDisc,"""Punk Rock""",,,,,Mixed title user generated disc,,,,,,,,,,,,,,,MiniDisc,2023.1.144,,Beth August Abbot,,
Duaflex III Flash Outfit,Audio-Visual,Visual,Image-making,Still Digital Camera,Duaflex III Flash Outfit,,Eastman Kodak Company,67K,,,,,,,,,,,,,,,,,,2023.1.145,,,"In box: includes booklet, camera, neck strap, flash unit, and flash cover",
AVL Fox,Audio-Visual,Visual,Image-making,Slide Projector Controller,AVL Fox,,Audio Visual Labs,Fox,,,,,,,,F-827,,,,,,,,,,2023.4.11,,Emily Francisco,http://www.stevenmichelsen.com/AVL/AVL_Fox_manual.pdf,
HitClips Player,Audio-Visual,Audio,Portable Audio Player,Digital Audio,HitClips Player,,"Tiger Electronics, Inc.",C-290A,,,,,,2001,,,,,,,,HitClips chip,,,,2023.4.16,,,,
"Madonna ""Music""",Audio-Visual,Audio,Audio Recording,HitClips Chip,"Madonna ""Music""",,"Tiger Electronics, Inc.",,,Madonna,,,,2000,,,,,,,,,,,,2023.4.17,,,,
"Village People ""YMCA""",Audio-Visual,Audio,Audio Recording,HitClips Chip,"Village People ""YMCA""",,"Tiger Electronics, Inc.",,,Village People,,,,2000,,,,,,,,,,,,2023.4.18,,,,
"Britney Spears ""I'm Not a Girl, Not Yet a Woman""",Audio-Visual,Audio,Audio Recording,HitClips Chip,"Britney Spears ""I'm Not a Girl, Not Yet a Woman""",,"Tiger Electronics, Inc.",,,Britney Spears,,,,2000,,,,,,,,,,,,2023.4.19,,,,
Joanie Greggains' Total Shape-Up,Audio-Visual,Audio,Audio Recording,Record,Joanie Greggains' Total Shape-Up,,,,,,,Parade Records,,1984,,PA 114,,,,,,,,,,2023.7.1,,,,
Urban Cowboy Original Motion Picture Soundtrack,Audio-Visual,Audio,Audio Recording,Record,Urban Cowboy Original Motion Picture Soundtrack,,,,,,,Elektra/Asylum Records,,1980,,,,,,,,,,,,2023.7.2,,,,
Glenn Miller and his Orchestra Exclusive Complete Collection of His Original Film Sound Tracks,Audio-Visual,Audio,Audio Recording,Record,Glenn Miller and his Orchestra Exclusive Complete Collection of His Original Film Sound Tracks,,,,,Glenn Miller,,20th Century Fox Record Corporation,,1958,,TCF-100-2,,,,,,,,,,2023.7.3,,,,
Johnathan Livingston Seagull Original Motion Picture Soundtrack,Audio-Visual,Audio,Audio Recording,Record,Johnathan Livingston Seagull Original Motion Picture Soundtrack,,,,,Neil Diamond,,"Columbia Records / CBS, Inc.",,1973,,KS 32550,,,,,,,,,,2023.7.4,,,,
The Sting Original Motion Picture Soundrtrack,Audio-Visual,Audio,Audio Recording,Record,The Sting Original Motion Picture Soundrtrack,,,,,"Scott Joplin, Marvin Hamlisch",,MCA Records,,1973,,MCA-390,,,,,,,,,,2023.7.5,,,,
Hair: The American Tribal Rock Musical Original Broadway Cast Recording,Audio-Visual,Audio,Audio Recording,Record,Hair: The American Tribal Rock Musical Original Broadway Cast Recording,,,,,,,RCA Victor,,1968,,LSO-1150,,,,,,,,,,2023.7.6,,,,
Katt Tracks Vol. 1,Audio-Visual,Audio,Audio Recording,Record,Katt Tracks Vol. 1,,,,,,,Sound Warehouse,,1986,,PACER-8605,,,,,,,,,,2023.7.7,,,,
Happy Songs for Happy Kids & Kittens,Audio-Visual,Audio,Audio Recording,Record,Happy Songs for Happy Kids & Kittens,,,,,The Hollywood Orchestra and Singers,,Tops Records,,1957,,L1638,,,,,,,,,,2023.7.8,,,,
Benji: Music from the Original Sound Track,Audio-Visual,Audio,Audio Recording,Record,Benji: Music from the Original Sound Track,,,,,,,Mulberry Square Productions,,1974,,KSE 33010,,,,,,,,,,2023.7.9,,,,
Evita,Audio-Visual,Audio,Audio Recording,Record,Evita,,,,,,,MCA Records,,1979,,MCA2-11007,,,,,,,,,,2023.7.10,,,,
Capitol Alternative Sampler: It Came From Hollywood!,Audio-Visual,Audio,Audio Recording,Record,Capitol Alternative Sampler: It Came From Hollywood!,,,,,,,"Capitol Records, Inc.",,1987,,SPRO-79199/79200,,,,,,,,,,2023.7.11,,,,
Man of La Mancha,Audio-Visual,Audio,Audio Recording,Record,Man of La Mancha,,Columbia Records,,,,,"Kapp Records, Inc.",,,,KRS-5505,,,,,,,,,,2023.7.12,,,,
Francis Albert Sinatra & Antonio Carlos Jobim,Audio-Visual,Audio,Audio Recording,Record,Francis Albert Sinatra & Antonio Carlos Jobim,,Warner Records,,,,,Reprise Records,,1967,,FS-1021,,,,,,,,,,2023.7.13,,,,
Califone 5-position Monaural Jack Box,Audio-Visual,Audio,Audio Accessory,Headphone Splitter,Califone 5-position Monaural Jack Box,,Califone,1214AV-PY,,,,,,,,,,,,,,,,,,2023.7.14,,Will Tuttle,,
Sony DVD-RW Handycam,Audio-Visual,A/V,Audio & Visual Recorder,Camcorder,Sony DVD-RW Handycam,,Sony,DCR-DVD201,,,,,,2004,,,,,,,,,,,,2023.7.52,,,"In carry bag with accessory cords, spare battery, charging cable",
Bell & Howell Slide Cube Projector,Audio-Visual,Visual,Visual Display,Still Projector,Bell & Howell Slide Cube Projector,,Bell & Howell,,,,,,,,,,,,,,,,,,,2023.7.67,,,,
Free To Be You And Me,Audio-Visual,Audio,Audio Recording,Record,Free To Be You And Me,,,,,Marlo Thomas and Friends,,Arista Records,,1972,,AL 4003,,,,,,,,,,2023.8.1,,,,
Aretha Now,Audio-Visual,Audio,Audio Recording,Record,Aretha Now,,,,,Aretha Franklin,,Atlantic Recording Corporation,,1968,,SD 8186,,,,,,,,,,2023.8.2,,,,
Simply Streisand,Audio-Visual,Audio,Audio Recording,Record,Simply Streisand,,,,,Barbra Streisand,,Columbia Records,,1967,,CS 9482,,,,,,,,,,2023.8.3,,,,
South Pacific,Audio-Visual,Audio,Audio Recording,Record,South Pacific,,,,,Rodgers & Hammerstein,,RCA Victor,,1958,,LSO-1032,,,,,,,,,,2023.8.4,,,,
Chartbusters,Audio-Visual,Audio,Audio Recording,Record,Chartbusters,,,,,Ray Parker Jr.,,Arista Records,,1984,,AL8-8266,,,,,,,,,,2023.8.5,,,,
West Side Story,Audio-Visual,Audio,Audio Recording,Record,West Side Story,,,,,,,Columbia Records,,1961,,OS 2070,,,,,,,,,,2023.8.6,,,,
"Shirley, Squirrely, and Melvin",Audio-Visual,Audio,Audio Recording,Record,"Shirley, Squirrely, and Melvin",,,,,,,Excelsior Records,,1981,,XLP-88009,,,,,,,,,,2023.8.7,,,,
Hello Dolly,Audio-Visual,Audio,Audio Recording,Record,Hello Dolly,,,,,,,20th Century Records,,1969,,ST 102,,,,,,,,,,2023.8.8,,,,
Annie Original Motion Picture Soundtrack,Audio-Visual,Audio,Audio Recording,Record,Annie Original Motion Picture Soundtrack,,,,,,,Columbia Records,,1982,,,,,,,,,,,,2023.8.9,,,,
The Unsinkable Molly Brown,Audio-Visual,Audio,Audio Recording,Record,The Unsinkable Molly Brown,,,,,,,"Capitol Records, Inc.",,1960,,WAO1509,,,,,,,,,,2023.8.10,,,,
It's my way!,Audio-Visual,Audio,Audio Recording,Record,It's my way!,,,,,Buffy Sainte-Marie,,"Vanguard Recording Society, Inc.",,1964,,VRS-9142,,,,,,,,,,2023.8.11,,,,
Ed Sullivan presents Showboat,Audio-Visual,Audio,Audio Recording,Record,Ed Sullivan presents Showboat,,,,,,,"J. J. Little & Ives Co., Inc.",,1960,,,,,,,,,,,,2023.8.12,,,,
"Rhapsody in Blue, An American in Paris, Cocerto in F",Audio-Visual,Audio,Audio Recording,Record,"Rhapsody in Blue, An American in Paris, Cocerto in F",,,,,Gershwin,,Columbia Records,,1966,,P2S 5092,,,,,,,,,,2023.8.13,,,,
My Fair Lady,Audio-Visual,Audio,Audio Recording,Record,My Fair Lady,,,,,"Rex Harrison, Julie Andrews",,Columbia Records,,1956,,OL 5090,,,,,,,,,,2023.8.14,,,,
Building the Perfect Beast,Audio-Visual,Audio,Audio Recording,Record,Building the Perfect Beast,,,,,Don Henley,,Geffen Records,,1984,,,,,,,,,,,,2023.8.15,,,,
The Magic Organ: Organ Magic,Audio-Visual,Audio,Audio Recording,Record,The Magic Organ: Organ Magic,,,,,,,"Ranwood Records, Inc.",,1976,,R-8163,,,,,,,,,,2023.8.16,,,,
Ethel Merman in Gypsy,Audio-Visual,Audio,Audio Recording,Record,Ethel Merman in Gypsy,,,,,Ethel Merman,,Columbia Records,,1959,,OL 5420,,,,,,,,,,2023.8.17,,,,
Camelot,Audio-Visual,Audio,Audio Recording,Record,Camelot,,,,,"Richard Burton, Julie Andrews",,Columbia Records,,1960,,KOL 5620,,,,,,,,,,2023.8.18,,,,
"Great Music of the Baroque Era, Vol. III",Audio-Visual,Audio,Audio Recording,Record,"Great Music of the Baroque Era, Vol. III",,,,,,,CMS Records Inc.,,1978,,SUM 1127,,,,,,,,,,2023.8.19,,,,
Hair: The American Tribal Rock Musical Original Broadway Cast Recording,Audio-Visual,Audio,Audio Recording,Record,Hair: The American Tribal Rock Musical Original Broadway Cast Recording,,,,,,,RCA Victor,,1968,,LSO-1150,,,,,,,,,,2023.8.20,,,,
A Program of American Song in Celebration of the Bicentennial,Audio-Visual,Audio,Audio Recording,Record,A Program of American Song in Celebration of the Bicentennial,,,,,"Victoria Villamil, Doris Coleman",,Self Published,,1976,,,,,,,,,,,,2023.8.21,,,,
The Wiz,Audio-Visual,Audio,Audio Recording,Record,The Wiz,,,,,Quincy Jones,,MCA Records,,1978,,MCA2-14000,,,,,,,,,,2023.8.22,,,,
Bizet Carmen Suite,Audio-Visual,Audio,Audio Recording,Record,Bizet Carmen Suite,,,,,,,"Treasure Productions, Inc.",,1959,,TLP 815,,,,,,,,,,2023.8.23,,,,
Who is Killing the Great Chefs of Europe?,Audio-Visual,Audio,Audio Recording,Record,Who is Killing the Great Chefs of Europe?,,,,,Henry Mancini,,Epic Records,,1978,,,,,,,,,,,,2023.8.24,,,,
Je m'appelle Barbra,Audio-Visual,Audio,Audio Recording,Record,Je m'appelle Barbra,,,,,Barbra Streisand,,Columbia Records,,1966,,CS 9347,,,,,,,,,,2023.8.25,,,,
DefCon Safe Mode,Audio-Visual,Audio,Audio Recording,Cassette,DefCon Safe Mode,,,,,,,DefCon,,2020,,,,,,,,,,,,2023.8.32,,,,
Tesla: Master of Lightning,Audio-Visual,A/V,Audio & Visual Recording,VHS,Tesla: Master of Lightning,,,,,"Roberth Uth, Phylis Geller",,PBS Home Video,English,2000,,B8419,,,,,,,,,,2023.8.70,,,,
Compact Disc Player,Audio-Visual,Audio,Stationary Audio Player,CD Player,Compact Disc Player,,Magnavox,FD1000 SL01,,,,,,1984,,33245317,,,,,,,,,,2023.10.2,10/13/23,,,
The Lord of the Rings: An Excerpt,Audio-Visual,Audio,Audio Recording,CD,The Lord of the Rings: An Excerpt,,,,,J.R.R. Tolkien,,Random House Audio,English,1995,,,,,,,,,,,,2023.10.3,,,,
Coexist / The xx,Audio-Visual,Audio,Audio Recording,CD-RW,Coexist / The xx,,,,,,,,,,,,,,,,,,,,,2023.10.4,,,,
Lily Allen Selections,Audio-Visual,Audio,Audio Recording,CD-RW,Lily Allen Selections,,,,,,,,,,,,,,,,,,,,,2023.10.5,,,,
The Fame,Audio-Visual,Audio,Audio Recording,CD-RW,The Fame,,,,,,,,,,,,,,,,,,,,,2023.10.6,,,,
New Stuff 4,Audio-Visual,Audio,Audio Recording,CD-RW,New Stuff 4,,,,,,,,,,,,,,,,,,,,,2023.10.7,,,,
New Stuff 12,Audio-Visual,Audio,Audio Recording,CD-RW,New Stuff 12,,,,,,,,,,,,,,,,,,,,,2023.10.8,,,,
New Stuff 13,Audio-Visual,Audio,Audio Recording,CD-RW,New Stuff 13,,,,,,,,,,,,,,,,,,,,,2023.10.9,,,,
New Stuff 14,Audio-Visual,Audio,Audio Recording,CD-RW,New Stuff 14,,,,,,,,,,,,,,,,,,,,,2023.10.10,,,,
New Stuff 15,Audio-Visual,Audio,Audio Recording,CD-RW,New Stuff 15,,,,,,,,,,,,,,,,,,,,,2023.10.11,,,,
New Stuff 16,Audio-Visual,Audio,Audio Recording,CD-RW,New Stuff 16,,,,,,,,,,,,,,,,,,,,,2023.10.12,,,,
New Stuff 17,Audio-Visual,Audio,Audio Recording,CD-RW,New Stuff 17,,,,,,,,,,,,,,,,,,,,,2023.10.13,,,,
New Stuff 18,Audio-Visual,Audio,Audio Recording,CD-RW,New Stuff 18,,,,,,,,,,,,,,,,,,,,,2023.10.14,,,,
New Stuff 19,Audio-Visual,Audio,Audio Recording,CD-RW,New Stuff 19,,,,,,,,,,,,,,,,,,,,,2023.10.15,,,,
New Stuff 20,Audio-Visual,Audio,Audio Recording,CD-RW,New Stuff 20,,,,,,,,,,,,,,,,,,,,,2023.10.16,,,,
New Stuff 21,Audio-Visual,Audio,Audio Recording,CD-RW,New Stuff 21,,,,,,,,,,,,,,,,,,,,,2023.10.17,,,,
The Y2K Album: A Doomsday Collection for the Coming Crash,Audio-Visual,Audio,Audio Recording,CD,The Y2K Album: A Doomsday Collection for the Coming Crash,,,,,,,Decca Record Company Ltd. for PC World,,1999,,,,,,,,,,,,2023.10.18,,,,
Mozart for your Modem,Audio-Visual,Audio,Audio Recording,CD,Mozart for your Modem,,,,,,,Philips Universal Music Company for PC World,,2000,,,,,,,,,,,,2023.10.19,,,,
Business Letters Using the 500 Commonest Words,Audio-Visual,Audio,Audio Recording,Record,Business Letters Using the 500 Commonest Words,,,"Set No. 39, Record No. 98",,,,Dictation Disc Co.,English,,,J80W-8680,,,,,,,,,,2023.11.190,,,"stored in a box labeled ""Set No. 42 Dictation for Speed Building""",
Legal Dictation 90 WPM,Audio-Visual,Audio,Audio Recording,Record,Legal Dictation 90 WPM,,,"Set No. 50, Record 32A/B",,,,Dictation Disc Co.,English,,,H8OH 7730/7731,,,,,,,,,,2023.11.191,,,"stored in a box labeled ""Set No. 42 Dictation for Speed Building""",
Legal Dictation 100 WPM,Audio-Visual,Audio,Audio Recording,Record,Legal Dictation 100 WPM,,,"Set No. 50, Record 33A/B",,,,Dictation Disc Co.,English,,,H8OH 7732/7733,,,,,,,,,,2023.11.192,,,"stored in a box labeled ""Set No. 42 Dictation for Speed Building""",
Business Letters 60 WPM,Audio-Visual,Audio,Audio Recording,Record,Business Letters 60 WPM,,,"Set No. 53, Record 53-1 A/B",,,,Dictation Disc Co.,English,,,MO8H 0001/0002,,,,,,,,,,2023.11.193,,,"stored in a box labeled ""Set No. 42 Business Letters""",
Business Letters 70 WPM,Audio-Visual,Audio,Audio Recording,Record,Business Letters 70 WPM,,,"Set No. 53, Record 53-2 A/B",,,,Dictation Disc Co.,English,,,MO8H 0003/0004,,,,,,,,,,2023.11.194,,,"stored in a box labeled ""Set No. 42 Business Letters""",
Business Letter Dictation,Audio-Visual,Audio,Audio Recording,Record,Business Letter Dictation,,,"Set No. 410, Record No. 77",,,,Dictation Disc Co.,English,,,K8OH 4409/4410,,,,,,,,,,2023.11.195,,,"stored in a box labeled ""Set No. 42 Business Letters""",
